"【提出修改建議 template】 This translation is culturally inappropriate. The correct Traditional Chinese translation should be _____. I selected Traditional Chinese, which should translate into phrases used in Taiwan, but it gave me phrases used in China (Simplified Chinese).  ",,,,,,,↙↓超連結及提出建議欄均已格式化，不須手動填入，可直接選取上方列然後點兩下右下角藍點來自動填入或是複製→選擇性貼上→僅貼上公式
Eng/外文,台灣用語,中國用語/其他,google翻譯狀態,類型,google 超連結,Google Translate Result (EN to zh-tw),方便回報複製用
accumulate,累積,積累,未改,日常用語,accumulate,積累,"This translation is culturally inappropriate. The correct Traditional Chinese translation should be ""累積"". I selected Traditional Chinese, which should translate into phrases used in Taiwan, but it gave me phrases used in China (Simplified Chinese)."
activate,啟動、活化、啟用,激活,OK,科技術語,activate,啟用,狀態OK
activate software,啟用軟體,激活軟件,未改,科技術語,activate software,激活軟件,"This translation is culturally inappropriate. The correct Traditional Chinese translation should be ""啟用軟體"". I selected Traditional Chinese, which should translate into phrases used in Taiwan, but it gave me phrases used in China (Simplified Chinese)."
activation,啟動,激活軟件,未改,日常用語,activation,激活,"This translation is culturally inappropriate. The correct Traditional Chinese translation should be ""啟動"". I selected Traditional Chinese, which should translate into phrases used in Taiwan, but it gave me phrases used in China (Simplified Chinese)."
adapter,轉接頭,適配器,未改,科技術語,adapter,適配器,"This translation is culturally inappropriate. The correct Traditional Chinese translation should be ""轉接頭"". I selected Traditional Chinese, which should translate into phrases used in Taiwan, but it gave me phrases used in China (Simplified Chinese)."
AI,人工智慧,人工智能,OK,科技術語,AI,AI,狀態OK
algorithm,演算法,算法,未改,科技術語,algorithm,算法,"This translation is culturally inappropriate. The correct Traditional Chinese translation should be ""演算法"". I selected Traditional Chinese, which should translate into phrases used in Taiwan, but it gave me phrases used in China (Simplified Chinese)."
alley,巷弄,胡同,未改,日常用語,alley,胡同,"This translation is culturally inappropriate. The correct Traditional Chinese translation should be ""巷弄"". I selected Traditional Chinese, which should translate into phrases used in Taiwan, but it gave me phrases used in China (Simplified Chinese)."
anime,動畫,動漫,未改,物品,anime,動漫,"This translation is culturally inappropriate. The correct Traditional Chinese translation should be ""動畫"". I selected Traditional Chinese, which should translate into phrases used in Taiwan, but it gave me phrases used in China (Simplified Chinese)."
artificial intelligence,人工智慧,人工智能,未改,科技術語,artificial intelligence,人工智能,"This translation is culturally inappropriate. The correct Traditional Chinese translation should be ""人工智慧"". I selected Traditional Chinese, which should translate into phrases used in Taiwan, but it gave me phrases used in China (Simplified Chinese)."
avocado,酪梨,鱷梨,未改,物品,avocado,鱷梨,"This translation is culturally inappropriate. The correct Traditional Chinese translation should be ""酪梨"". I selected Traditional Chinese, which should translate into phrases used in Taiwan, but it gave me phrases used in China (Simplified Chinese)."
Bach,巴哈,巴赫,未改,人名,Bach,過獨身生活,"This translation is culturally inappropriate. The correct Traditional Chinese translation should be ""巴哈"". I selected Traditional Chinese, which should translate into phrases used in Taiwan, but it gave me phrases used in China (Simplified Chinese)."
