Eng/外文,台灣用語,中國用語/其他,google翻譯狀態,類型,google 超連結,方便回報複製用,,,Google Translate Result (EN to zh-tw),簡易比對用語
accumulate,累積,積累,未改,日常用語,accumulate,"This translation is culturally inappropriate. The correct Traditional Chinese translation should be ""累積"". I selected Traditional Chinese, which should translate into phrases used in Taiwan, but it gave me phrases used in China (Simplified Chinese).",,,積累,待努力
activate software,啟用軟體,激活軟件,未改,科技術語,activate software,"This translation is culturally inappropriate. The correct Traditional Chinese translation should be ""啟用軟體"". I selected Traditional Chinese, which should translate into phrases used in Taiwan, but it gave me phrases used in China (Simplified Chinese).",,,激活軟件,待努力
activation,啟動,激活軟件,未改,日常用語,activation,"This translation is culturally inappropriate. The correct Traditional Chinese translation should be ""啟動"". I selected Traditional Chinese, which should translate into phrases used in Taiwan, but it gave me phrases used in China (Simplified Chinese).",,,激活,待努力
AI,人工智慧,人工智能,未改,科技術語,AI,"This translation is culturally inappropriate. The correct Traditional Chinese translation should be ""人工智慧"". I selected Traditional Chinese, which should translate into phrases used in Taiwan, but it gave me phrases used in China (Simplified Chinese).",,,AI,待努力
anime,動畫,動漫,未改,物品,anime,"This translation is culturally inappropriate. The correct Traditional Chinese translation should be ""動畫"". I selected Traditional Chinese, which should translate into phrases used in Taiwan, but it gave me phrases used in China (Simplified Chinese).",,,動漫,待努力
artificial intelligence,人工智慧,人工智能,未改,科技術語,artificial intelligence,"This translation is culturally inappropriate. The correct Traditional Chinese translation should be ""人工智慧"". I selected Traditional Chinese, which should translate into phrases used in Taiwan, but it gave me phrases used in China (Simplified Chinese).",,,人工智能,待努力
Australia,澳洲,澳大利亞,未改,國名/地名,Australia,"This translation is culturally inappropriate. The correct Traditional Chinese translation should be ""澳洲"". I selected Traditional Chinese, which should translate into phrases used in Taiwan, but it gave me phrases used in China (Simplified Chinese).",,,澳大利亞,待努力
avocado,酪梨,鱷梨,未改,物品,avocado,"This translation is culturally inappropriate. The correct Traditional Chinese translation should be ""酪梨"". I selected Traditional Chinese, which should translate into phrases used in Taiwan, but it gave me phrases used in China (Simplified Chinese).",,,鱷梨,待努力
Bach,巴哈,巴赫,未改,人名,Bach,"This translation is culturally inappropriate. The correct Traditional Chinese translation should be ""巴哈"". I selected Traditional Chinese, which should translate into phrases used in Taiwan, but it gave me phrases used in China (Simplified Chinese).",,,過獨身生活,待努力
ball pen,原子筆,原珠筆,未改,物品,ball pen,"This translation is culturally inappropriate. The correct Traditional Chinese translation should be ""原子筆"". I selected Traditional Chinese, which should translate into phrases used in Taiwan, but it gave me phrases used in China (Simplified Chinese).",,,圓珠筆,待努力
